Id,Label,timeset,name,genre,followers,componentnumber,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,stat_inf_class
7HjGPPtdNuHcK8crc7iNkn,,,Ian Munsick,contemporary country,109309,0,1,1,16,0.112659,0.119619,0,0.002169,162,599
0TnOYISbd1XYRBk9myaseg,,,Pitbull,pop,9696732,0,19,36,13,0.182105,0.209972,0.003168,0.173968,39,1289
60rpJ9SgigSd16DOAG7GSa,,,Billy Ray Cyrus,country,217890,0,2,4,13,0.152018,0.165911,0.000022,0.011205,127,188
1hmTCch4tWOJmdqkf8nSRA,,,charlieonnafriday,pop rap,148483,0,1,1,15,0.11813,0.126561,0,0.002584,106,599
3fuxStOqQv8TiytHeuGiE8,,,Delaney Jane,alt z,63949,100,1,1,1,1,1,0,0.00103,95,119
4P70LmF7PJwBGS9BV5dk2c,,,CHASE WRIGHT,contemporary country,33277,100,1,1,1,1,1,0,0.00103,95,119
13YmWQJFwgZrd4bf5IjMY4,,,Brad Paisley,country,2451901,0,5,9,14,0.155846,0.174957,0.001134,0.024363,106,599
5l5JD2LJPnIoVeco82Tk4q,,,Huey Mack,pop rap,49613,0,1,3,15,0.134838,0.14643,0,0.003759,106,599
5icKdCmMhNMYoAzVBAWt39,,,Dax,canadian,864559,0,1,1,16,0.114936,0.122329,0,0.002052,106,599
1E2AEtxaFaJtH0lO7kgNKw,,,Russell Dickerson,country,408915,0,3,5,14,0.148944,0.167825,0.000228,0.016911,162,599
0DxPHf2flBAcV2SnZPg3SV,,,Jake Scott,pop,159154,0,1,1,15,0.12964,0.141468,0,0.002715,162,599
1qDDkysTxJvFandHwP9CMx,,,Noah Schnacky,contemporary country,142295,0,1,1,14,0.130234,0.141918,0,0.005709,106,599
06zS0fTnfMX9Bg3UTfKbD9,,,SMO,redneck,64643,101,1,1,1,1,1,0,0.00103,116,139
0BvkDsjIUla7X0k6CSWh1I,,,Luke Bryan,country,7774738,0,4,4,14,0.140475,0.15649,0.000417,0.011733,162,599
77kULmXAQ6vWer7IIHdGzI,,,Jordan Davis,country,749445,0,1,1,15,0.123176,0.133421,0,0.002463,162,599
