source,target,weight
2CIMQHirSU0MQqyYHq0eOx,2avRYQUWQpIkzJOEkf0MdY,35
205i7E8fNVfojowcQSfK9m,3AA28KZvwAUcZuOKwyblJQ,6
1yqxFtPHKcGcv6SXZNdyT9,5ITI6SEoUZMIXXkzCfr4oE,1
0NGAZxHanS9e0iNHpR8f2W,0X2BH1fck6amBIoJhDVmmJ,3
2ZRQcIgzPCVaT9XKhXZIzh,7gHscNMDI8FF8pcgrV8eIn,1
0xRXCcSX89eobfrshSVdyu,28uJnu5EsrGml2tBd7y8ts,3
14MtanGZe4G1fzC8raLFUK,39B7ChWwrWDs7zXlsu3MoP,6
19HFRWmRCl27kTk6LeqAO8,1Cs0zKBU1kc0i8ypK3B9ai,14
0QaSiI5TLA4N7mcsdxShDO,1QMgre3BHX161ZHtWMUu6S,1
0GG2cWaonE4JPrjcCCQ1EG,4NHQUGzhtTLFvgF5SZesLK,2
12Zk1DFhCbHY6v3xep2ZjI,5KKpBU5eC2tJDzf0wmlRp2,3
1294QqYm1VuxxjRiL9M0h9,7vk5e3vY1uw9plTHJAMwjN,1
1IueXOQyABrMOprrzwQJWN,5ENS85nZShljwNgg4wFD7D,3
2ZRQcIgzPCVaT9XKhXZIzh,67MNhiAICFY6Pwc2YxCO0K,2
144HzhpLjcR9k37w5Ico9B,2YVF0Ou5zIc4mpgtLIlGN0,1
0g5BdWwyb5SWkGnz9p4neX,5Dyfxq0ZrFjjeFBdSNxDbo,1
540vIaP2JwjQb9dm3aArA4,6J2bFI9tQDWfPHjoKHKrOu,3
2Wzb0u138rgoZQTK3ytknT,2qxJFvFYMEDqd7ui6kSAcq,3
5SHxzwjek1Pipl1Yk11UHv,6DgP9otnZw5z6daOntINxp,1
0xRXCcSX89eobfrshSVdyu,5344K3N7rx7kw1HjO8psuq,6
5pdyjBIaY5o1yOyexGIUc6,6fcTRFpz0yH79qSKfof7lp,1
1RyvyyTE3xzB2ZywiAwp0i,1h6Cn3P4NGzXbaXidqURXs,3
3jK9MiCrA42lLAdMGUZpwa,6qgnBH6iDM91ipVXv28OMu,1
0Dc2rdPzleezxhvQhQbXuS,1Cs0zKBU1kc0i8ypK3B9ai,6
6TLwD7HPWuiOzvXEa3oCNe,76M2Ekj8bG8W7X2nbx2CpF,1
2NtQA3PY9chI8l65ejZLTP,540vIaP2JwjQb9dm3aArA4,6
14Tg9FvbNismPR1PJHxRau,1WHFu22zN1C6F11Z1rt12K,6
2ABBMkcUeM9hdpimo86mo6,2vf4pRsEY6LpL5tKmqWb64,1
1AHswQqsDNmu1xaE8KpBne,7tm9Tuc70geXOOyKhtZHIj,1
2l0xOjnrmYsxNoQ0QI3G5a,4D75GcNG95ebPtNvoNVXhz,3
4epc3Bd0DOBA0kDywkRAsu,5PlfkPxwCpRRWQJBxCa0By,3
0p4nmQO2msCgU4IF37Wi3j,6Ad91Jof8Niiw0lGLLi3NW,2
0J7U24vlOOIeMpuaO6Q85A,0hAd6zwEgt9ILuMDY1prcI,1
2cAXhrWAztXGwk6r15ibW2,3N8Hy6xQnQv1F1XCiyGQqA,1
2cFrymmkijnjDg9SS92EPM,3QaxveoTiMetZCMp1sftiu,1
64KEffDW9EtZ1y2vBYgq8T,6LuN9FCkKOj5PcnpouEgny,2
25u4wHJWxCA9vO0CzxAbK7,6LuN9FCkKOj5PcnpouEgny,1
1Cs0zKBU1kc0i8ypK3B9ai,4sTQVOfp9vEMCemLw50sbu,3
0hCNtLu0JehylgoiP8L4Gh,1YnW3KicGQq3zD9LcdGJSh,6
23fqKkggKUBHNkbKtXEls4,2nJYGgfTf2846LtVB3AES8,1
1yxSLGMDHlW21z4YXirZDS,2oQX8QiMXOyuqbcZEFsZfm,3
3wcj11K77LjEY1PkEazffa,6eUKZXaKkcviH0Ku9w2n3V,1
2gduEC76ry33RVurAvT05p,7nDsS0l5ZAzMedVRKPP8F1,2
6nXco5Q3cJJ0ZutnBOsSpq,7DMveApC7UnC2NPfPvlHSU,1
07YZf4WDAMNwqr4jfgOZ8y,2TcGJdSOiOvITBzhvfX8XB,1
7AOCUMe3rKW4o3uADBNwVy,7vk5e3vY1uw9plTHJAMwjN,1
3klZnJvYGIbWritVwQD434,46xBNx0j6cwY6sD9LgMTm1,1
0Upxnyh9nIUNSOmNE8WF4R,5rGrDvrLOV2VV8SCFVGWlj,1
4D75GcNG95ebPtNvoNVXhz,4IWBUUAFIplrNtaOHcJPRM,1
67MNhiAICFY6Pwc2YxCO0K,6MDME20pz9RveH9rEXvrOM,1
4AKwRarlmsUlLjIwt38NLw,6cEuCEZu7PAE9ZSzLLc2oQ,1
2gduEC76ry33RVurAvT05p,7zoc6JsY8GWVcl2qFwiKay,1
0EmeFodog0BfCgMzAIvKQp,1Cs0zKBU1kc0i8ypK3B9ai,3
1Xylc3o4UrD53lo9CvFvVg,4AVFqumd2ogHFlRbKIjp1t,2
25uiPmTg16RbhZWAqwLBy5,2o5jDhtHVPhrJdv3cEQ99Z,1
23fqKkggKUBHNkbKtXEls4,3QSQFmccmX81fWCUSPTS7y,2
26VFTg2z8YR0cCuwLzESi2,2RdwBSPQiwcmiDo9kixcl8,6
1Cs0zKBU1kc0i8ypK3B9ai,4EPJlUEBy49EX1wuFOvtjK,9
4IWBUUAFIplrNtaOHcJPRM,7f5Zgnp2spUuuzKplmRkt7,2
47BEc2RoW53owMyxacXWdV,6mU8ucezzms5I2kNH6HNlu,1
1Cs0zKBU1kc0i8ypK3B9ai,1IueXOQyABrMOprrzwQJWN,3
4EPJlUEBy49EX1wuFOvtjK,6DgP9otnZw5z6daOntINxp,1
3t5xRXzsuZmMDkQzgOX35S,7z2avKuuiMAT4XZJFv8Rvh,1
23fqKkggKUBHNkbKtXEls4,2ZRQcIgzPCVaT9XKhXZIzh,3
3Nrfpe0tUJi4K4DXYWgMUX,5CiGnKThu5ctn9pBxv7DGa,3
1OFOShsIbhy1l5x73yuVyB,6VuMaDnrHyPL1p4EHjYLi7,3
0X2BH1fck6amBIoJhDVmmJ,0c173mlxpT3dSFRgMO8XPh,1
1IueXOQyABrMOprrzwQJWN,7zoc6JsY8GWVcl2qFwiKay,2
1BEUkE2CSUgHTLSBMZdnFB,64KEffDW9EtZ1y2vBYgq8T,3
1HBjj22wzbscIZ9sEb5dyf,2JLl6rSFWx9YuSPLcLhkAG,1
1eMmoIprPDWeFdB1FxU6ZV,7vk5e3vY1uw9plTHJAMwjN,1
1HY2Jd0NmPuamShAr6KMms,7fObcBw9VM3x7ntWKCYl0z,3
0z4gvV4rjIZ9wHck67ucSV,4yiQZ8tQPux8cPriYMWUFP,2
0EmeFodog0BfCgMzAIvKQp,7aBzpmFXB4WWpPl2F7RjBe,1
23zg3TcAtWQy7J6upgbUnj,3ipn9JLAPI5GUEo4y4jcoi,6
3DiDSECUqqY1AuBP8qtaIa,3nFkdlSjzX9mRTtwJOzDYB,1
0NbfKEOTQCcwd6o7wSDOHI,3q7HBObVc0L8jNeTe5Gofh,2
3nFkdlSjzX9mRTtwJOzDYB,5pKCCKE2ajJHZ9KAiaK11H,5
2jw70GZXlAI8QzWeY2bgRc,5Y5TRrQiqgUO4S36tzjIRZ,3
1Oa0bMld0A3u5OTYfMzp5h,7dGJo4pcD2V6oG8kP0tJRR,1
0z4gvV4rjIZ9wHck67ucSV,7dGJo4pcD2V6oG8kP0tJRR,2
6DPYiyq5kWVQS4RGwxzPC7,7hJcb9fa4alzcOq3EaNPoG,3
2mpeljBig2IXLXRAFO9AAs,7dGJo4pcD2V6oG8kP0tJRR,1
0jnsk9HBra6NMjO2oANoPY,3aQeKQSyrW4qWr35idm0cy,1
3q7HBObVc0L8jNeTe5Gofh,5YBSzuCs7WaFKNr7Bky0Uf,1
6DPYiyq5kWVQS4RGwxzPC7,7dGJo4pcD2V6oG8kP0tJRR,4
5EvFsr3kj42KNv97ZEnqij,67wCYxOq4A1ohAs7jWYaOJ,2
23zg3TcAtWQy7J6upgbUnj,3DiDSECUqqY1AuBP8qtaIa,1
4pADjHPWyrlAF0FA7joK2H,55Aa2cqylxrFIXC767Z865,3
2gBjLmx6zQnFGQJCAQpRgw,3AuMNF8rQAKOzjYppFNAoB,2
